Title,Author,countries,Rank,Genre,first_year_published,Approx. sales (in millions),Bestseller
tenant of wildfell hall,Anne Brontë,British,399,gen_fiction,1848.0,<10,No
first family,David Baldacci,,400,thrillers,,<10,No
partner,John Grisham,,401,thrillers,,<10,No
girl on train,Paula Hawkins,British,402,gen_fiction,2015.0,20-50,Yes
blackrrow,Robert Louis Stevenson,,403,history,,<10,No
rise of silas lapham,William Dea Howells,,404,gen_fiction,,<10,No
choice,Nicholas Sparks,,405,romance,,<10,No
virginian,Owen Wister,,406,gen_fiction,,<10,No
walk to remember,Nicholas Sparks,,407,romance,,<10,No
maze runner,James Dashner,,408,scifi,,<10,No
westing game,Ellen Raskin,,409,mystery,,<10,No
misty of chincoteague,Marguerite Henry,,410,gen_fiction,,<10,No
diary of wimpy kid,Jeff Kinney,American,411,gen_fiction,2007.0,<10,No
king solomon's mines,H. Rider Haggard,British,412,action,1885.0,<10,No
princess of cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett,French,413,gen_fiction,1678.0,<10,No
jacob have i loved,Katherine Paterson,American,414,gen_fiction,1980.0,<10,No
mrs. frisbynd rats of nimh,Robert C. O'Brien,,415,fantasy,,<10,No
misery,Stephen King,American,416,horror,1987.0,<10,No
cider house rules,John Irving,American,417,bildung,1985.0,<10,No
king of wind,Marguerite Henry,,418,history,,<10,No
oncend future king,T. H. White,British,419,fantasy,1958.0,<10,No
witches,Roald Dahl,British,420,gen_fiction,1983.0,<10,No
subtle knife,Philip Pullman,,421,fantasy,,<10,No
when you reach me,Rebecca Stead,,422,gen_fiction,,<10,No
carrie,Stephen King,American,423,horror,1974.0,<10,No
moonnd sixpence,W. Somerset Maugham,,424,gen_fiction,,<10,No
higher power of lucky,Susan Patron,,425,gen_fiction,,<10,No
"looking backward, 2000 1887",Edward Bellamy,,426,gen_fiction,,<10,No
wings of dove,Henry James,British,427,romance,1902.0,<10,No
summer of swans,Betsy Cromer Byars,,428,gen_fiction,,<10,No
dangerous liaisons,Choderlos de Laclos,,429,gen_fiction,,<10,No
jurassic park,Michael Crichton,American,430,scifi,1990.0,<10,No
absolutely true diary of part time indian,Sherman Alexie,American,431,gen_fiction,2007.0,<10,No
grey king,Susan Cooper,,432,fantasy,,<10,No
leopard,Giuseppe Tomasi di Lampedusa,Italian,433,history,1958.0,<10,No
mammoth hunters,Jean M. Auel,,434,history,,<10,No
trumpet of swan,E.B. White,,435,fantasy,,<10,No
lucky one,Nicholas Sparks,,436,romance,,<10,No
these happy golden years,Laura Ingalls Wilder,,437,history,,<10,No
arrowsmith,Sinclair Lewis,American,438,gen_fiction,1925.0,<10,No
julie of wolves,Jean Craighead George,,439,action,,<10,No
screwtape letters,C.S. Lewis,,440,gen_fiction,,<10,No
fall,Albert Camus,French,441,gen_fiction,1956.0,<10,No
no. 1 ladies' detectivegency,Alexander McCall Smith,Scottish,442,mystery,1998.0,<10,No
worst case,James Patterson,,443,thrillers,,<10,No
lost horizon,James Hilton,British,444,fantasy,1933.0,<10,No
gunslinger,Stephen King,,445,fantasy,,<10,No
slave dancer,Paula Fox,,446,history,,<10,No
harry potternd half blood prince,J.K. Rowling,British,447,fantasy,2005.0,50-100,Yes
inkheart,Cornelia Funke,,448,fantasy,,<10,No
ramonand her father,Beverly Cleary,,449,gen_fiction,,<10,No
inkspell,Cornelia Funke,,450,fantasy,,<10,No
ramonpest,Beverly Cleary,,451,gen_fiction,,<10,No
walk two moons,Sharon Creech,,452,bildung,,<10,No
miss peregrine's home for peculiar children,Ransom Riggs,,453,gen_fiction,,<10,No
chocolate war,Robert Cormier,,454,bildung,,<10,No
sophie's choice,William Styron,American,455,bildung,1979.0,<10,No
looking forlaska,John Green,American,456,bildung,2005.0,<10,No
breakfastt tiffany's,Truman Capote,American,457,gen_fiction,1958.0,<10,No
razor's edge,W. Somerset Maugham,British,458,bildung,1944.0,<10,No
dreamcatcher,Stephen King,,459,horror,,<10,No
orlando,Virginia Woolf,British,460,history,1928.0,<10,No
thingsy carried,Tim O'Brien,American,461,gen_fiction,1990.0,<10,No
little town on prairie,Laura Ingalls Wilder,,462,history,,<10,No
nights in rodanthe,Nicholas Sparks,,463,romance,,<10,No
amber spyglass,Philip Pullman,British,464,fantasy,2000.0,<10,No
miraculous journey of edward tulane,Kate DiCamillo,American,465,gen_fiction,2006.0,<10,No
flatland,Edwin A. Abbott,British,466,gen_fiction,1884.0,<10,No
diary of wimpy kid,Jeff  Kinney,American,467,gen_fiction,2007.0,<10,No
memory keeper's daughter,Kim Edwards,,468,gen_fiction,,<10,No
wedding,Nicholas Sparks,,469,romance,,<10,No
fried green tomatoest whistle stop cafe,Fannie Flagg,,470,gen_fiction,,<10,No
cricket in times square,George Selden,,471,gen_fiction,,<10,No
phantom tollbooth,Norton Juster,American,472,fantasy,1961.0,<10,No
rob roy,Walter Scott,British,473,history,1817.0,<10,No
death of ivilych,Leo Tolstoy,,474,gen_fiction,,<10,No
alex cross's trial,James Patterson,,475,thrillers,,<10,No
kenilworth,Walter Scott,,476,history,,<10,No
lifend opinions of tristram shandy,Laurence Sterne,,477,gen_fiction,,<10,No
remains ofday,Kazuo Ishiguro,,478,history,,<10,No
"m.c. higgins, great",Virginia Hamilton,,479,bildung,,<10,No
call it courage,Armstrong Sperry,,480,history,,<10,No
go set watchman,Harper Lee,,481,gen_fiction,,<10,No
bleachers,John Grisham,,482,gen_fiction,,<10,No
elijah of buxton,Christopher Paul Curtis,,483,gen_fiction,,<10,No
swimsuit,James Patterson,,484,mystery,,<10,No
cat's cradle,Kurt Vonnegut,American,485,scifi,1963.0,<10,No
caine mutiny,Herman Wouk,American,486,gen_fiction,1951.0,<10,No
heart of matter,Graham Greene,British,487,gen_fiction,1948.0,<10,No
"harriet, spy",Louise Fitzhugh,,488,mystery,,<10,No
darknesst noon,Arthur Koestler,British,489,history,1940.0,<10,No
prayer for owen meany,John Irving,American,490,gen_fiction,1989.0,<10,No
god of small things,Arundhati Roy,Indian,491,gen_fiction,1997.0,<10,No
god of small things,Arundhati Roy,Indian,491,gen_fiction,1997.0,<10,No
associate,John Grisham,,492,thrillers,,<10,No
shack,William P. Young,American,493,gen_fiction,2007.0,20-50,Yes
nakednd dead,Norman Mailer,American,494,history,1948.0,<10,No
seof monsters,Rick Riordan,,495,fantasy,,<10,No
stranger in strange land,Robert A. Heinlein,American,496,scifi,1961.0,<10,No
vision in white,Nora Roberts,,497,romance,,<10,No
whipping boy,Sid Fleischman,,498,action,,<10,No
room,Emma Donoghue,Irish,499,gen_fiction,2010.0,<10,No
deception point,Dan Brown,,500,political,,<10,No
